Calculation1,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
JAMES MADISON HIGH SCHOOL52853,JAMES MADISON HIGH SCHOOL,San Diego,San Diego,Enr,8,,,5,,,,,
JAMES MONROE HIGH SCHOOL52902,JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,App,88,6,,73,,7,,,
JAMES MONROE HIGH SCHOOL52902,JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,Adm,58,4,,46,,6,,,
JAMES MONROE HIGH SCHOOL52902,JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles,Enr,19,,,16,,,,,
JCS - PINE HILLS52720,JCS - PINE HILLS,Temecula,Riverside,App,,,,,,,,,
JCS - PINE HILLS52720,JCS - PINE HILLS,Temecula,Riverside,Adm,,,,,,,,,
JCS - PINE HILLS52720,JCS - PINE HILLS,Temecula,Riverside,Enr,,,,,,,,,
JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,App,63,,,22,,37,,,
JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,Adm,47,,,15,,28,,,
JEFFERSON HIGH SCHOOL50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,Enr,14,,,,,11,,,
JESSE M BETHEL HIGH SCHOOL53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,App,39,11,,14,,14,,,
JESSE M BETHEL HIGH SCHOOL53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,Adm,24,5,,10,,9,,,
JESSE M BETHEL HIGH SCHOOL53690,JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,Enr,12,3,,4,,5,,,
JOHANSEN HIGH SCHOOL51994,JOHANSEN HIGH SCHOOL,Modesto,Stanislaus,App,37,,,27,,,6,,
JOHANSEN HIGH SCHOOL51994,JOHANSEN HIGH SCHOOL,Modesto,Stanislaus,Adm,31,,,22,,,5,,
JOHANSEN HIGH SCHOOL51994,JOHANSEN HIGH SCHOOL,Modesto,Stanislaus,Enr,14,,,10,,,,,
JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,App,161,,,21,,129,,6,
JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,Adm,107,,,7,,93,,5,
JOHN A ROWLAND HIGH SCHOOL52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles,Enr,53,,,3,,47,,3,
JOHN ADAMS ACADEMY - LINCOLN54976,JOHN ADAMS ACADEMY - LINCOLN,Lincoln,Placer,App,,,,,,,,,
JOHN ADAMS ACADEMY - LINCOLN54976,JOHN ADAMS ACADEMY - LINCOLN,Lincoln,Placer,Adm,,,,,,,,,
JOHN ADAMS ACADEMY - LINCOLN54976,JOHN ADAMS ACADEMY - LINCOLN,Lincoln,Placer,Enr,,,,,,,,,
JOHN ADAMS ACADEMY54586,JOHN ADAMS ACADEMY,Roseville,Placer,App,5,,,,,,,,
JOHN ADAMS ACADEMY54586,JOHN ADAMS ACADEMY,Roseville,Placer,Adm,,,,,,,,,
JOHN ADAMS ACADEMY54586,JOHN ADAMS ACADEMY,Roseville,Placer,Enr,,,,,,,,,
JOHN B ALLARD53867,JOHN B ALLARD,Turlock,Stanislaus,App,,,,,,,,,
JOHN B ALLARD53867,JOHN B ALLARD,Turlock,Stanislaus,Adm,,,,,,,,,
JOHN B ALLARD53867,JOHN B ALLARD,Turlock,Stanislaus,Enr,,,,,,,,,
JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,App,159,11,,57,,29,55,5,
JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,Adm,101,7,,38,,17,32,5,
JOHN BURROUGHS HIGH SCHOOL50400,JOHN BURROUGHS HIGH SCHOOL,Burbank,Los Angeles,Enr,51,4,,18,,9,17,,
JOHN C FREMONT HIGH SCHOOL51645,JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,App,82,,,78,,,,,
JOHN C FREMONT HIGH SCHOOL51645,JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,Adm,44,,,43,,,,,
JOHN C FREMONT HIGH SCHOOL51645,JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles,Enr,19,,,,,,,,
JOHN C KIMBALL HIGH SCHOOL54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,App,74,9,,12,,43,9,,
JOHN C KIMBALL HIGH SCHOOL54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,Adm,53,9,,6,,33,4,,
JOHN C KIMBALL HIGH SCHOOL54375,JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,Enr,30,6,,,,20,3,,
JOHN F KENNEDY HIGH SCHOOL50379,JOHN F KENNEDY HIGH SCHOOL,La Palma,Orange,App,122,8,,31,,76,6,,
JOHN F KENNEDY HIGH SCHOOL50379,JOHN F KENNEDY HIGH SCHOOL,La Palma,Orange,Adm,72,6,,16,,48,,,
JOHN F KENNEDY HIGH SCHOOL50379,JOHN F KENNEDY HIGH SCHOOL,La Palma,Orange,Enr,41,3,,10,,28,,,
JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,App,118,5,,21,,72,11,,9
JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,Adm,92,5,,13,,59,8,,7
JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,Fremont,Alameda,Enr,52,3,,8,,36,,,4
JOHN F KENNEDY HIGH SCHOOL51089,JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,App,155,8,,119,,18,6,,
JOHN F KENNEDY HIGH SCHOOL51089,JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,Adm,86,7,,63,,11,3,,
JOHN F KENNEDY HIGH SCHOOL51089,JOHN F KENNEDY HIGH SCHOOL,Granada Hills,Los Angeles,Enr,23,,,16,,3,,,
JOHN F KENNEDY HIGH SCHOOL52630,JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,App,28,5,,21,,,,,
JOHN F KENNEDY HIGH SCHOOL52630,JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,Adm,27,5,,20,,,,,
JOHN F KENNEDY HIGH SCHOOL52630,JOHN F KENNEDY HIGH SCHOOL,Richmond,Contra Costa,Enr,16,3,,12,,,,,
JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,App,111,11,,18,,61,16,,
JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,Adm,68,4,,9,,43,11,,
JOHN F KENNEDY HIGH SCHOOL52713,JOHN F KENNEDY HIGH SCHOOL,Sacramento,Sacramento,Enr,34,,,,,25,4,,
JOHN F KENNEDY MIDDLE COLG HS54073,JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,App,78,5,,34,,27,11,,
JOHN F KENNEDY MIDDLE COLG HS54073,JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,Adm,59,,,26,,21,9,,
JOHN F KENNEDY MIDDLE COLG HS54073,JOHN F KENNEDY MIDDLE COLG HS,Norco,Riverside,Enr,39,,,17,,14,7,,
JOHN GLENN HIGH SCHOOL52166,JOHN GLENN HIGH SCHOOL,Norwalk,Los Angeles,App,29,,,24,,,,,
JOHN GLENN HIGH SCHOOL52166,JOHN GLENN HIGH SCHOOL,Norwalk,Los Angeles,Adm,19,,,16,,,,,
JOHN GLENN HIGH SCHOOL52166,JOHN GLENN HIGH SCHOOL,Norwalk,Los Angeles,Enr,7,,,6,,,,,
JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,App,121,,,106,,11,,,
JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,Adm,98,,,84,,11,,,
JOHN H FRANCIS POLYTECHNIC HS53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles,Enr,45,,,35,,8,,,
JOHN H PITMAN HIGH SCHOOL53644,JOHN H PITMAN HIGH SCHOOL,Turlock,Stanislaus,App,76,5,,30,,25,14,,
JOHN H PITMAN HIGH SCHOOL53644,JOHN H PITMAN HIGH SCHOOL,Turlock,Stanislaus,Adm,56,4,,21,,20,10,,
JOHN H PITMAN HIGH SCHOOL53644,JOHN H PITMAN HIGH SCHOOL,Turlock,Stanislaus,Enr,32,,,13,,15,,,
JOHN HENRY HIGH SCHOOL54856,JOHN HENRY HIGH SCHOOL,Richmond,Contra Costa,App,28,,,27,,,,,
JOHN HENRY HIGH SCHOOL54856,JOHN HENRY HIGH SCHOOL,Richmond,Contra Costa,Adm,21,,,,,,,,
JOHN HENRY HIGH SCHOOL54856,JOHN HENRY HIGH SCHOOL,Richmond,Contra Costa,Enr,17,,,,,,,,
JOHN MARSHALL FUNDAMENTAL SCH52388,JOHN MARSHALL FUNDAMENTAL SCH,Pasadena,Los Angeles,App,86,9,,40,,15,21,,
JOHN MARSHALL FUNDAMENTAL SCH52388,JOHN MARSHALL FUNDAMENTAL SCH,Pasadena,Los Angeles,Adm,62,7,,25,,14,16,,
JOHN MARSHALL FUNDAMENTAL SCH52388,JOHN MARSHALL FUNDAMENTAL SCH,Pasadena,Los Angeles,Enr,30,4,,11,,8,7,,
JOHN MARSHALL HIGH SCHOOL51650,JOHN MARSHALL HIGH SCHOOL,Los Angeles,Los Angeles,App,181,,,95,,48,32,,
JOHN MARSHALL HIGH SCHOOL51650,JOHN MARSHALL HIGH SCHOOL,Los Angeles,Los Angeles,Adm,129,,,62,,37,27,,
JOHN MARSHALL HIGH SCHOOL51650,JOHN MARSHALL HIGH SCHOOL,Los Angeles,Los Angeles,Enr,61,,,19,,23,16,,
JOHN MUIR HIGH SCHOOL52390,JOHN MUIR HIGH SCHOOL,Pasadena,Los Angeles,App,41,15,,24,,,,,
JOHN MUIR HIGH SCHOOL52390,JOHN MUIR HIGH SCHOOL,Pasadena,Los Angeles,Adm,26,7,,18,,,,,
JOHN MUIR HIGH SCHOOL52390,JOHN MUIR HIGH SCHOOL,Pasadena,Los Angeles,Enr,12,,,10,,,,,
JOHN O'CONNELL HIGH SCHOOL52960,JOHN O'CONNELL HIGH SCHOOL,San Francisco,San Francisco,App,33,,,25,,,,,
JOHN O'CONNELL HIGH SCHOOL52960,JOHN O'CONNELL HIGH SCHOOL,San Francisco,San Francisco,Adm,23,,,19,,,,,
JOHN O'CONNELL HIGH SCHOOL52960,JOHN O'CONNELL HIGH SCHOOL,San Francisco,San Francisco,Enr,9,,,6,,,,,
JOHN SWETT HIGH SCHOOL50710,JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa,App,19,,,8,,5,,,
JOHN SWETT HIGH SCHOOL50710,JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa,Adm,13,,,6,,3,,,
JOHN SWETT HIGH SCHOOL50710,JOHN SWETT HIGH SCHOOL,Crockett,Contra Costa,Enr,8,,,,,,,,
JOHN W NORTH HIGH SCHOOL52661,JOHN W NORTH HIGH SCHOOL,Riverside,Riverside,App,111,18,,68,,12,10,,
JOHN W NORTH HIGH SCHOOL52661,JOHN W NORTH HIGH SCHOOL,Riverside,Riverside,Adm,75,8,,48,,9,8,,
JOHN W NORTH HIGH SCHOOL52661,JOHN W NORTH HIGH SCHOOL,Riverside,Riverside,Enr,37,3,,22,,6,4,,
JOSEPH A GREGORI HIGH SCHOOL52031,JOSEPH A GREGORI HIGH SCHOOL,Modesto,Stanislaus,App,84,7,,29,,26,20,,
JOSEPH A GREGORI HIGH SCHOOL52031,JOSEPH A GREGORI HIGH SCHOOL,Modesto,Stanislaus,Adm,63,5,,23,,22,12,,
JOSEPH A GREGORI HIGH SCHOOL52031,JOSEPH A GREGORI HIGH SCHOOL,Modesto,Stanislaus,Enr,35,3,,14,,13,4,,
JUAN RODRIGUEZ CABRILLO HS51504,JUAN RODRIGUEZ CABRILLO HS,Long Beach,Los Angeles,App,79,8,,54,,16,,,
JUAN RODRIGUEZ CABRILLO HS51504,JUAN RODRIGUEZ CABRILLO HS,Long Beach,Los Angeles,Adm,49,4,,31,,13,,,
JUAN RODRIGUEZ CABRILLO HS51504,JUAN RODRIGUEZ CABRILLO HS,Long Beach,Los Angeles,Enr,21,3,,12,,5,,,
JULIAN CHARTER SCHOOL52929,JULIAN CHARTER SCHOOL,Julian,San Diego,App,,,,,,,,,
JULIAN CHARTER SCHOOL52929,JULIAN CHARTER SCHOOL,Julian,San Diego,Adm,,,,,,,,,
JULIAN CHARTER SCHOOL52929,JULIAN CHARTER SCHOOL,Julian,San Diego,Enr,,,,,,,,,
JULIAN UNION HIGH SCHOOL51285,JULIAN UNION HIGH SCHOOL,Julian,San Diego,App,,,,,,,,,
JULIAN UNION HIGH SCHOOL51285,JULIAN UNION HIGH SCHOOL,Julian,San Diego,Adm,,,,,,,,,
JULIAN UNION HIGH SCHOOL51285,JULIAN UNION HIGH SCHOOL,Julian,San Diego,Enr,,,,,,,,,
JUNE JORDAN SCHOOL FOR EQUITY53884,JUNE JORDAN SCHOOL FOR EQUITY,San Francisco,San Francisco,App,13,,,9,,,,,
JUNE JORDAN SCHOOL FOR EQUITY53884,JUNE JORDAN SCHOOL FOR EQUITY,San Francisco,San Francisco,Adm,9,,,6,,,,,
JUNE JORDAN SCHOOL FOR EQUITY53884,JUNE JORDAN SCHOOL FOR EQUITY,San Francisco,San Francisco,Enr,,,,,,,,,
JURUPA HILLS HIGH SCHOOL51268,JURUPA HILLS HIGH SCHOOL,Fontana,San Bernardino,App,114,7,,97,,8,,,
JURUPA HILLS HIGH SCHOOL51268,JURUPA HILLS HIGH SCHOOL,Fontana,San Bernardino,Adm,86,4,,75,,6,,,
JURUPA HILLS HIGH SCHOOL51268,JURUPA HILLS HIGH SCHOOL,Fontana,San Bernardino,Enr,43,,,37,,4,,,
JURUPA VALLEY HIGH SCHOOL51989,JURUPA VALLEY HIGH SCHOOL,Mira Loma,Riverside,App,73,,,65,,,5,,
JURUPA VALLEY HIGH SCHOOL51989,JURUPA VALLEY HIGH SCHOOL,Mira Loma,Riverside,Adm,53,,,48,,,,,
JURUPA VALLEY HIGH SCHOOL51989,JURUPA VALLEY HIGH SCHOOL,Mira Loma,Riverside,Enr,21,,,18,,,,,
KATELLA HIGH SCHOOL50081,KATELLA HIGH SCHOOL,Anaheim,Orange,App,142,,,123,,13,,,
KATELLA HIGH SCHOOL50081,KATELLA HIGH SCHOOL,Anaheim,Orange,Adm,82,,,74,,6,,,
KATELLA HIGH SCHOOL50081,KATELLA HIGH SCHOOL,Anaheim,Orange,Enr,35,,,31,,3,,,
KEARNY COLLEGE CONNECTIONS53893,KEARNY COLLEGE CONNECTIONS,San Diego,San Diego,App,17,,,6,,6,,,
KEARNY COLLEGE CONNECTIONS53893,KEARNY COLLEGE CONNECTIONS,San Diego,San Diego,Adm,12,,,5,,3,,,
KEARNY COLLEGE CONNECTIONS53893,KEARNY COLLEGE CONNECTIONS,San Diego,San Diego,Enr,4,,,,,3,,,
KEARNY DIGITAL MEDIA & DESIGN53216,KEARNY DIGITAL MEDIA & DESIGN,San Diego,San Diego,App,15,,,8,,,,,
KEARNY DIGITAL MEDIA & DESIGN53216,KEARNY DIGITAL MEDIA & DESIGN,San Diego,San Diego,Adm,7,,,4,,,,,
KEARNY DIGITAL MEDIA & DESIGN53216,KEARNY DIGITAL MEDIA & DESIGN,San Diego,San Diego,Enr,,,,,,,,,
KEARNY ENG INNOV & DESIGN53217,KEARNY ENG INNOV & DESIGN,San Diego,San Diego,App,10,,,5,,,,,
KEARNY ENG INNOV & DESIGN53217,KEARNY ENG INNOV & DESIGN,San Diego,San Diego,Adm,,,,,,,,,
KEARNY ENG INNOV & DESIGN53217,KEARNY ENG INNOV & DESIGN,San Diego,San Diego,Enr,,,,,,,,,
KEARNY SCH BIOMED SCIENCE TECH53900,KEARNY SCH BIOMED SCIENCE TECH,San Diego,San Diego,App,25,,,6,,11,5,,
KEARNY SCH BIOMED SCIENCE TECH53900,KEARNY SCH BIOMED SCIENCE TECH,San Diego,San Diego,Adm,12,,,3,,7,,,
KEARNY SCH BIOMED SCIENCE TECH53900,KEARNY SCH BIOMED SCIENCE TECH,San Diego,San Diego,Enr,7,,,3,,,,,
KEEMA HIGH SCHOOL52801,KEEMA HIGH SCHOOL,Sacramento,Sacramento,App,,,,,,,,,
KEEMA HIGH SCHOOL52801,KEEMA HIGH SCHOOL,Sacramento,Sacramento,Adm,,,,,,,,,
KEEMA HIGH SCHOOL52801,KEEMA HIGH SCHOOL,Sacramento,Sacramento,Enr,,,,,,,,,
KEITH MCCARTHY ACADEMY54401,KEITH MCCARTHY ACADEMY,Lake Elsinore,Riverside,App,,,,,,,,,
KEITH MCCARTHY ACADEMY54401,KEITH MCCARTHY ACADEMY,Lake Elsinore,Riverside,Adm,,,,,,,,,
KEITH MCCARTHY ACADEMY54401,KEITH MCCARTHY ACADEMY,Lake Elsinore,Riverside,Enr,,,,,,,,,
KELSEYVILLE HIGH SCHOOL51290,KELSEYVILLE HIGH SCHOOL,Kelseyville,Lake,App,8,,,,,,,,
KELSEYVILLE HIGH SCHOOL51290,KELSEYVILLE HIGH SCHOOL,Kelseyville,Lake,Adm,8,,,,,,,,
KELSEYVILLE HIGH SCHOOL51290,KELSEYVILLE HIGH SCHOOL,Kelseyville,Lake,Enr,4,,,,,,,,
KERMAN HIGH SCHOOL51295,KERMAN HIGH SCHOOL,Kerman,Fresno,App,30,,,19,,6,,,
KERMAN HIGH SCHOOL51295,KERMAN HIGH SCHOOL,Kerman,Fresno,Adm,24,,,15,,5,,,
KERMAN HIGH SCHOOL51295,KERMAN HIGH SCHOOL,Kerman,Fresno,Enr,10,,,8,,,,,
KERN VALLEY HIGH SCHOOL51342,KERN VALLEY HIGH SCHOOL,Lake Isabella,Kern,App,,,,,,,,,
KERN VALLEY HIGH SCHOOL51342,KERN VALLEY HIGH SCHOOL,Lake Isabella,Kern,Adm,,,,,,,,,
KERN VALLEY HIGH SCHOOL51342,KERN VALLEY HIGH SCHOOL,Lake Isabella,Kern,Enr,,,,,,,,,
KING CHAVEZ COMMUNITY HIGH SCH54507,KING CHAVEZ COMMUNITY HIGH SCH,San Diego,San Diego,App,14,,,,,,,,
KING CHAVEZ COMMUNITY HIGH SCH54507,KING CHAVEZ COMMUNITY HIGH SCH,San Diego,San Diego,Adm,12,,,,,,,,
KING CHAVEZ COMMUNITY HIGH SCH54507,KING CHAVEZ COMMUNITY HIGH SCH,San Diego,San Diego,Enr,6,,,,,,,,
KING CITY JOINT UNION HS51305,KING CITY JOINT UNION HS,King City,Monterey,App,31,,,25,,,,,
KING CITY JOINT UNION HS51305,KING CITY JOINT UNION HS,King City,Monterey,Adm,25,,,19,,,,,
KING CITY JOINT UNION HS51305,KING CITY JOINT UNION HS,King City,Monterey,Enr,6,,,4,,,,,
KING DREW MAGNET HS MED/SCI51672,KING DREW MAGNET HS MED/SCI,Los Angeles,Los Angeles,App,175,72,,98,,,,,
KING DREW MAGNET HS MED/SCI51672,KING DREW MAGNET HS MED/SCI,Los Angeles,Los Angeles,Adm,140,57,,79,,,,,
KING DREW MAGNET HS MED/SCI51672,KING DREW MAGNET HS MED/SCI,Los Angeles,Los Angeles,Enr,70,28,,40,,,,,
KINGS CANYON ONLINE54665,KINGS CANYON ONLINE,Dunlap,Fresno,App,,,,,,,,,
KINGS CANYON ONLINE54665,KINGS CANYON ONLINE,Dunlap,Fresno,Adm,,,,,,,,,
KINGS CANYON ONLINE54665,KINGS CANYON ONLINE,Dunlap,Fresno,Enr,,,,,,,,,
KINGS VALLEY ACADEMY II51293,KINGS VALLEY ACADEMY II,Hanford,Kings,App,,,,,,,,,
KINGS VALLEY ACADEMY II51293,KINGS VALLEY ACADEMY II,Hanford,Kings,Adm,,,,,,,,,
KINGS VALLEY ACADEMY II51293,KINGS VALLEY ACADEMY II,Hanford,Kings,Enr,,,,,,,,,
KINGSBURG HIGH SCHOOL51310,KINGSBURG HIGH SCHOOL,Kingsburg,Fresno,App,38,,,17,,5,14,,
KINGSBURG HIGH SCHOOL51310,KINGSBURG HIGH SCHOOL,Kingsburg,Fresno,Adm,27,,,13,,4,9,,
KINGSBURG HIGH SCHOOL51310,KINGSBURG HIGH SCHOOL,Kingsburg,Fresno,Enr,7,,,3,,,,,
KIPP KING COLLEGIATE HIGH SCH54231,KIPP KING COLLEGIATE HIGH SCH,San Lorenzo,Alameda,App,96,6,,39,,45,6,,
KIPP KING COLLEGIATE HIGH SCH54231,KIPP KING COLLEGIATE HIGH SCH,San Lorenzo,Alameda,Adm,82,3,,32,,42,5,,
KIPP KING COLLEGIATE HIGH SCH54231,KIPP KING COLLEGIATE HIGH SCH,San Lorenzo,Alameda,Enr,37,,,10,,27,,,
KIPP NAVIGATE COLLEGE PREP54927,KIPP NAVIGATE COLLEGE PREP,San Jose,Santa Clara,App,45,,,21,,22,,,
KIPP NAVIGATE COLLEGE PREP54927,KIPP NAVIGATE COLLEGE PREP,San Jose,Santa Clara,Adm,39,,,17,,20,,,
KIPP NAVIGATE COLLEGE PREP54927,KIPP NAVIGATE COLLEGE PREP,San Jose,Santa Clara,Enr,10,,,,,8,,,
KIPP SAN FRANCISCO COLG PREP54816,KIPP SAN FRANCISCO COLG PREP,San Francisco,San Francisco,App,32,6,,24,,,,,
KIPP SAN FRANCISCO COLG PREP54816,KIPP SAN FRANCISCO COLG PREP,San Francisco,San Francisco,Adm,27,5,,20,,,,,
KIPP SAN FRANCISCO COLG PREP54816,KIPP SAN FRANCISCO COLG PREP,San Francisco,San Francisco,Enr,11,3,,7,,,,,
KIPP SAN JOSE COLLEGIATE54377,KIPP SAN JOSE COLLEGIATE,San Jose,Santa Clara,App,70,,,38,,32,,,
KIPP SAN JOSE COLLEGIATE54377,KIPP SAN JOSE COLLEGIATE,San Jose,Santa Clara,Adm,59,,,36,,23,,,
KIPP SAN JOSE COLLEGIATE54377,KIPP SAN JOSE COLLEGIATE,San Jose,Santa Clara,Enr,25,,,9,,16,,,
KONOCTI EDUCATION CENTER SCHL54844,KONOCTI EDUCATION CENTER SCHL,Clear Lake,Lake,App,,,,,,,,,
KONOCTI EDUCATION CENTER SCHL54844,KONOCTI EDUCATION CENTER SCHL,Clear Lake,Lake,Adm,,,,,,,,,
KONOCTI EDUCATION CENTER SCHL54844,KONOCTI EDUCATION CENTER SCHL,Clear Lake,Lake,Enr,,,,,,,,,
LA CANADA HIGH SCHOOL51312,LA CANADA HIGH SCHOOL,La Canada,Los Angeles,App,221,5,,30,,102,78,,
LA CANADA HIGH SCHOOL51312,LA CANADA HIGH SCHOOL,La Canada,Los Angeles,Adm,148,,,19,,81,42,,
LA CANADA HIGH SCHOOL51312,LA CANADA HIGH SCHOOL,La Canada,Los Angeles,Enr,56,,,9,,27,17,,
LA CENTER ENRICHED STUDIES51561,LA CENTER ENRICHED STUDIES,Los Angeles,Los Angeles,App,159,33,,41,,43,40,,
LA CENTER ENRICHED STUDIES51561,LA CENTER ENRICHED STUDIES,Los Angeles,Los Angeles,Adm,125,19,,28,,42,35,,
LA CENTER ENRICHED STUDIES51561,LA CENTER ENRICHED STUDIES,Los Angeles,Los Angeles,Enr,57,10,,13,,20,14,,
LA COSTA CANYON HIGH SCHOOL50858,LA COSTA CANYON HIGH SCHOOL,Carlsbad,San Diego,App,126,,,21,,9,79,10,
LA COSTA CANYON HIGH SCHOOL50858,LA COSTA CANYON HIGH SCHOOL,Carlsbad,San Diego,Adm,70,,,9,,7,45,,
LA COSTA CANYON HIGH SCHOOL50858,LA COSTA CANYON HIGH SCHOOL,Carlsbad,San Diego,Enr,27,,,4,,3,16,,
LA HABRA HIGH SCHOOL51325,LA HABRA HIGH SCHOOL,La Habra,Orange,App,92,,,66,,10,10,,
LA HABRA HIGH SCHOOL51325,LA HABRA HIGH SCHOOL,La Habra,Orange,Adm,59,,,43,,5,8,,
LA HABRA HIGH SCHOOL51325,LA HABRA HIGH SCHOOL,La Habra,Orange,Enr,29,,,21,,3,3,,
LA JOLLA HIGH51335,LA JOLLA HIGH,La Jolla,San Diego,App,202,10,,49,,22,106,11,
LA JOLLA HIGH51335,LA JOLLA HIGH,La Jolla,San Diego,Adm,128,5,,26,,20,66,8,
LA JOLLA HIGH51335,LA JOLLA HIGH,La Jolla,San Diego,Enr,60,,,10,,11,30,6,
LA MIRADA HIGH SCHOOL51352,LA MIRADA HIGH SCHOOL,La Mirada,Los Angeles,App,86,6,,46,,23,7,,
LA MIRADA HIGH SCHOOL51352,LA MIRADA HIGH SCHOOL,La Mirada,Los Angeles,Adm,53,,,28,,17,4,,
LA MIRADA HIGH SCHOOL51352,LA MIRADA HIGH SCHOOL,La Mirada,Los Angeles,Enr,25,,,12,,10,,,
LA PUENTE HIGH SCHOOL51359,LA PUENTE HIGH SCHOOL,La Puente,Los Angeles,App,60,,,55,,,,,
LA PUENTE HIGH SCHOOL51359,LA PUENTE HIGH SCHOOL,La Puente,Los Angeles,Adm,41,,,38,,,,,
LA PUENTE HIGH SCHOOL51359,LA PUENTE HIGH SCHOOL,La Puente,Los Angeles,Enr,24,,,23,,,,,
LA QUINTA HIGH SCHOOL51328,LA QUINTA HIGH SCHOOL,La Quinta,Riverside,App,107,10,,69,,9,17,,
LA QUINTA HIGH SCHOOL51328,LA QUINTA HIGH SCHOOL,La Quinta,Riverside,Adm,69,3,,45,,7,12,,
LA QUINTA HIGH SCHOOL51328,LA QUINTA HIGH SCHOOL,La Quinta,Riverside,Enr,31,,,23,,,3,,
LA QUINTA HIGH SCHOOL53737,LA QUINTA HIGH SCHOOL,Westminster,Orange,App,264,,,12,,245,,,
LA QUINTA HIGH SCHOOL53737,LA QUINTA HIGH SCHOOL,Westminster,Orange,Adm,168,,,9,,155,,,
LA QUINTA HIGH SCHOOL53737,LA QUINTA HIGH SCHOOL,Westminster,Orange,Enr,92,,,3,,85,,,
LA SERNA HIGH SCHOOL53756,LA SERNA HIGH SCHOOL,Whittier,Los Angeles,App,191,5,,146,,16,18,,
LA SERNA HIGH SCHOOL53756,LA SERNA HIGH SCHOOL,Whittier,Los Angeles,Adm,117,5,,87,,11,9,,
LA SERNA HIGH SCHOOL53756,LA SERNA HIGH SCHOOL,Whittier,Los Angeles,Enr,56,4,,42,,6,,,
LA SIERRA HIGH SCHOOL52659,LA SIERRA HIGH SCHOOL,Riverside,Riverside,App,86,,,63,,15,,,
LA SIERRA HIGH SCHOOL52659,LA SIERRA HIGH SCHOOL,Riverside,Riverside,Adm,57,,,39,,11,,,
LA SIERRA HIGH SCHOOL52659,LA SIERRA HIGH SCHOOL,Riverside,Riverside,Enr,25,,,16,,5,,,
LA SIERRA HIGH SCHOOL52923,LA SIERRA HIGH SCHOOL,Fullerton,Orange,App,,,,,,,,,
LA SIERRA HIGH SCHOOL52923,LA SIERRA HIGH SCHOOL,Fullerton,Orange,Adm,,,,,,,,,
LA SIERRA HIGH SCHOOL52923,LA SIERRA HIGH SCHOOL,Fullerton,Orange,Enr,,,,,,,,,
LAGUNA BEACH HIGH SCHOOL51320,LAGUNA BEACH HIGH SCHOOL,Laguna Beach,Orange,App,124,,,24,,25,64,6,
